Chave do item;ID do item;Resumo;Situação;Componente(s);Componente(s);Componente(s);Campo personalizado (Valor Inicial);Campo personalizado (Meta para o Valor);Campo personalizado (Valor Atual);Campo personalizado (Objetivo);Campo personalizado (Resultado Chave);Campo personalizado (Ciclo da Iniciativa);Campo personalizado (Check In);Campo personalizado (Completude);Campo personalizado (Lista de céulas OKRs);Campo personalizado (Observação para PI Planning);Campo personalizado (Quando Será Medido?);Campo personalizado (Transbordo);Rótulos;Rótulos;Campo personalizado (% Avanço);Campo personalizado (Empresa BS);Link de item interno (Relate);Link de item interno (Relate);Link de item interno (Relate);Link de item interno (Relate);Link de item interno (Relate);Link de item interno (Relate);Link de item interno (Relate);Link de item interno (Relate);Link de item interno (Relate);Link de item interno (Relate);Link de item interno (Relate);Link de item interno (Relate);Link de item interno (Relate);Link de item interno (Relate);Link de item interno (Relate);Link de item interno (Relate);Link de item interno (Relate);Link de item interno (Relate);Link de item interno (Relate);Link de item interno (Relate);Link externo de item (Relate);Link externo de item (Relate);Link externo de item (Relate);Link externo de item (Relate);Link externo de item (Relate);Link externo de item (Relate);Link externo de item (Relate);Link externo de item (Relate);Link externo de item (Relate);Link externo de item (Relate);Link externo de item (Relate);Link externo de item (Relate);Link externo de item (Relate);Link externo de item (Relate);Link externo de item (Relate);Link externo de item (Relate);Link externo de item (Relate);Link externo de item (Relate);Link externo de item (Relate);Link externo de item (Relate);Link externo de item (Relate);Link externo de item (Relate);Link externo de item (Relate);Link externo de item (Relate);Link externo de item (Relate);Link externo de item (Relate);Link externo de item (Relate)
SGTIJIRA01-58143;820460;"OKR1.8.1.1 Aprimorar a eficiência e a assertividade dos processos de subscrição e aceitação de risco, promovendo decisões mais rápidas, seguras e sustentáveis.";Em Progresso;PI#8BAR;;;0.0;3;0;"O1.8.1 Aprimorar a eficiência e a assertividade dos processos de subscrição e aceitação de risco, promovendo decisões mais rápidas, seguras e sustentáveis.
";KR1.8.1.1 Criar 3 novas bases para tomada de decisão via crivo e fluxos de aceitação restrita;Ciclo 2025;3;;BAR Precificação e Aceitação de Risco Auto;;Medição ao final do 4º trim;Não;Desenvolvimento_Produto_AUTO;;0.0;BARE;SGTIJIRA01-58135;;;;;;;;;;;;;;;;;;;;BARNISA000-171;BARNISA000-172;BARNISA000-175;;;;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-58142;820459;"OKR1.7.1.1 Ampliar e fortalecer o portfólio de produto auto, implementando produtos personalizados de acordo com o perfil do cliente";Em Progresso;PI#8BAR;;;0.0;1;0;"O1.7.1 Ampliar e fortalecer o portfólio de produto auto, implementando produtos personalizados de acordo com o perfil do cliente";KR1.7.1.1 Implementar produto para o segmento Alto Valor;Ciclo 2025;3;;BAR Novos Produtos;;Medição ao final do 4º trim;Não;Desenvolvimento_Produto_AUTO;;0.0;BARE;SBARCPBA00-2971;SGTIJIRA01-58134;;;;;;;;;;;;;;;;;;;SBARCPBA00-2846;SBARCPBA00-2786;SBARCPBA00-2844;SBARCPBA00-2887;SBARCPBA00-2845;;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-58141;820458;OKR1.6.1.3 Proporcionar uma melhor experiência ao corretor transformando a jornada de contratação Auto Frota em um processo mais ágil e eficiente;Em Progresso;PI#8BAR;;;24.5;30;"24,5";O1.6.1 Proporcionar uma melhor experiência ao corretor transformando a jornada de contratação Auto Frota em um processo mais ágil e eficiente;KR1.6.1.3 Aumentar o NPS do Frota;Ciclo 2025;3;;BAR Melhorias Frota;;Ainda não é possível medir;Não;Desenvolvimento_Produto_AUTO;;0.0;BARE;SGTIJIRA01-58133;;;;;;;;;;;;;;;;;;;;SBARMEAR00-3196;;;;;;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-58140;820457;OKR1.6.1.2 Proporcionar uma melhor experiência ao corretor transformando a jornada de contratação Auto Frota em um processo mais ágil e eficiente;Em Progresso;PI#8BAR;;;0.0;10;0;O1.6.1 Proporcionar uma melhor experiência ao corretor transformando a jornada de contratação Auto Frota em um processo mais ágil e eficiente;KR1.6.1.2 Diminuir em 10% o tempo médio de retorno (TMR) da mesa de negócios do Frota;Ciclo 2025;3;;BAR Melhorias Frota;;Medição ao final do 4º trim;Não;Desenvolvimento_Produto_AUTO;;0.0;BARE;SGTIJIRA01-58133;;;;;;;;;;;;;;;;;;;;SBARMEAR00-3216;SBARMEAR00-3205;SBARMEAR00-3201;SBARMEAR00-3203;SBARMEAR00-3217;SBARMEAR00-3210;SBARMEAR00-3212;SBARMEAR00-3204;SBARMEAR00-3215;;;;;;;;;;;;;;;;;;
SGTIJIRA01-58139;820456;OKR1.6.1.1 Proporcionar uma melhor experiência ao corretor transformando a jornada de contratação Auto Frota em um processo mais ágil e eficiente;Em Progresso;PI#8BAR;;;0.0;"0,3";0;O1.6.1 Proporcionar uma melhor experiência ao corretor transformando a jornada de contratação Auto Frota em um processo mais ágil e eficiente;"KR1.6.1.1 Aumentar o índice de conversão de pequenas frotas (2 até 5 itens) em 0,3p.p";Ciclo 2025;3;;BAR Melhorias Frota;;Medição ao final do 4º trim;Não;Desenvolvimento_Produto_AUTO;;0.0;BARE;SGTIJIRA01-58133;;;;;;;;;;;;;;;;;;;;SBARMEAR00-3211;SBARMEAR00-3213;SBARMEAR00-3206;SBARMEAR00-3202;;;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-58138;820455;"OKR1.5.1.2 Tornar o seguro Auto Individual mais atraente e relevante com novos serviços, coberturas inovadoras e parcerias estratégicas, fortalecendo a confiança dos clientes";Em Progresso;PI#8BAR;;;0.0;4;0;"O1.5.1 Tornar o seguro Auto Individual mais atraente e relevante com novos serviços, coberturas inovadoras e parcerias estratégicas, fortalecendo a confiança dos clientes";KR1.5.1.2 Aumentar em 4% a penetração de pontos Livelo em cotações elegíveis;Ciclo 2025;3;;BAR Melhorias Auto;;Medição ao final do 4º trim;Não;Desenvolvimento_Produto_AUTO;;0.0;BARE;SGTIJIRA01-58132;;;;;;;;;;;;;;;;;;;;SBARMEAI00-2563;SBARMEAI00-2565;;;;;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-58137;820454;"OKR1.5.1.1 Tornar o seguro Auto Individual mais atraente e relevante com novos serviços, coberturas inovadoras e parcerias estratégicas, fortalecendo a confiança dos clientes";Em Progresso;PI#8BAR;;;0.0;3;0;"O1.5.1 Tornar o seguro Auto Individual mais atraente e relevante com novos serviços, coberturas inovadoras e parcerias estratégicas, fortalecendo a confiança dos clientes";KR1.5.1.1 Disponibilizar 3 novos serviços e coberturas para os corretores/segurados no processo de contratação de seguro Auto Individual;Ciclo 2025;3;;BAR Melhorias Auto;;Medição ao final do 4º trim;Não;Desenvolvimento_Produto_AUTO;;0.0;BARE;SGTIJIRA01-58132;;;;;;;;;;;;;;;;;;;;SBARMEAI00-2562;SBARMEAI00-2556;SBARMEAI00-2564;SBARMEAI00-2561;SBARMEAI00-2560;;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-58136;820453;OKR1.3.2.1 Aprimorar a eficiência e a inteligência de precificação;Em Progresso;PI#8BAR;;;0.0;3;0;O1.3.2 Aprimorar a eficiência e a inteligência de precificação;KR1.3.2.1 Criação de 3 bases para utilização no roteiro de calculo;Ciclo 2025;3;;BAR Precificação e Aceitação de Risco Auto;;Medição ao final do 4º trim;Não;Desenvolvimento_Produto_AUTO;;0.0;BARE;;;;;;;;;;;;;;;;;;;;;BARNISA000-227;SGTIJIRA01-51174;BARNISA000-174;BARNISA000-228;BARNISA000-229;;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-58135;820452;"OKR1.8 Ampliar e fortalecer o portifólio de produtos AUTO, promovendo competitividade e eficiência por meio de modelos flexiveis e inteligentes de precificação e subscrição, trazendo rentabilidade para a companhia e aumento market share.";Em Progresso;PI#8BAR;;;0.0;0;0;"O1 Ampliar e fortalecer o portifólio de produtos AUTO, promovendo competitividade e eficiência por meio de modelos flexíveis e inteligentes de precificação e subscrição e trazendo rentabilidade para a companhia e aumento market share.";KR1.8 Aumentar a receita através da análise de casos de aceitação restrita;Ciclo 2025;;;"BAR Melhorias Auto Individual
BAR Melhorias Auto Frota
BAR Novos Produtos
BAR Precificação e Aceitação de Risco Auto
";;Medição ao final do 4º trim;Não;Desenvolvimento_Produto_AUTO;;0.0;BARE;;;;;;;;;;;;;;;;;;;;;SGTIJIRA01-58143;SGTIJIRA01-58144;;;;;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-58134;820451;"OKR1.7 Ampliar e fortalecer o portifólio de produtos AUTO, promovendo competitividade e eficiência por meio de modelos flexiveis e inteligentes de precificação e subscrição, trazendo rentabilidade para a companhia e aumento market share.";Em Progresso;PI#8BAR;;;0.0;541;0;"O1 Ampliar e fortalecer o portifólio de produtos AUTO, promovendo competitividade e eficiência por meio de modelos flexíveis e inteligentes de precificação e subscrição e trazendo rentabilidade para a companhia e aumento market share.";KR1.7 Aumentar a produção do Auto com novos produtos em todos os canais de venda em 541MM;Ciclo 2025;;;"BAR Melhorias Auto Individual
BAR Melhorias Auto Frota
BAR Novos Produtos
BAR Precificação e Aceitação de Risco Auto
";;Medição ao final do 4º trim;Não;Desenvolvimento_Produto_AUTO;;0.0;BARE;;;;;;;;;;;;;;;;;;;;;SGTIJIRA01-58142;;;;;;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-58133;820450;"OKR1.6 Ampliar e fortalecer o portifólio de produtos AUTO, promovendo competitividade e eficiência por meio de modelos flexiveis e inteligentes de precificação e subscrição, trazendo rentabilidade para a companhia e aumento market share.";Em Progresso;PI#8BAR;;;0.0;139;0;"O1 Ampliar e fortalecer o portifólio de produtos AUTO, promovendo competitividade e eficiência por meio de modelos flexíveis e inteligentes de precificação e subscrição e trazendo rentabilidade para a companhia e aumento market share.";KR1.6 Aumentar a receita do Auto Frota em R$139MM;Ciclo 2025;;;"BAR Melhorias Auto Individual
BAR Melhorias Auto Frota
BAR Novos Produtos
BAR Precificação e Aceitação de Risco Auto
";;Medição ao final do 4º trim;Não;Desenvolvimento_Produto_AUTO;;0.0;BARE;;;;;;;;;;;;;;;;;;;;;SGTIJIRA01-58139;SGTIJIRA01-58141;SGTIJIRA01-58140;;;;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-58132;820449;"OKR1.5 Ampliar e fortalecer o portifólio de produtos AUTO, promovendo competitividade e eficiência por meio de modelos flexiveis e inteligentes de precificação e subscrição, trazendo rentabilidade para a companhia e aumento market share.";Em Progresso;PI#8BAR;;;0.0;62;0;"O1 Ampliar e fortalecer o portifólio de produtos AUTO, promovendo competitividade e eficiência por meio de modelos flexíveis e inteligentes de precificação e subscrição e trazendo rentabilidade para a companhia e aumento market share.";KR1.5 Aumentar a receita do Auto Individual em R$62MM;Ciclo 2025;;;"BAR Melhorias Auto Individual
BAR Melhorias Auto Frota
BAR Novos Produtos
BAR Precificação e Aceitação de Risco Auto
";;Medição ao final do 4º trim;Não;Desenvolvimento_Produto_AUTO;;0.0;BARE;;;;;;;;;;;;;;;;;;;;;SGTIJIRA01-58137;SGTIJIRA01-58138;;;;;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-58130;820053;OKR1.3.2.1 Atingir 400 mil direcionamentos para o e-commerce com as funcionalidades do Minhas Proteções e Open Insurance até dezembro de 2025;FINALIZADO;PI#5DIG;;;313892.0;400000;412342;O1.3.2 Atingir 400 mil direcionamentos para o e-commerce com as funcionalidades do Minhas Proteções e Open Insurance até dezembro de 2025;KR1.3.2.1 Atingir 400 mil direcionamentos para o e-commerce com as funcionalidades do Minhas Proteções e Open Insurance até dezembro de 2025;Ciclo 2025;3;;;;Medição ao final do 4º trim;Não;VS_OPIN;;100.0;Digital;SGTIJIRA01-51265;;;;;;;;;;;;;;;;;;;;SDIGBSMO05-1392;SDIGBSMO05-1391;SDIGBSMO05-1338;SDIGBSMO05-1393;;;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-58129;820052;OKR1.2.3.1 Atingir 500 consentimentos recebidos novos do Open Insurance até dezembro de 2025;FINALIZADO;PI#5DIG;;;498.0;1000;1227;O1.2.3 Atingir 1000 consentimentos recebidos novos do Open Insurance até dezembro de 2025;KR1.2.3.1 Atingir 1000 consentimentos recebidos novos do Open Insurance até dezembro de 2025;Ciclo 2025;3;;;;Medição ao final do 4º trim;Não;VS_OPIN;;100.0;Digital;SGTIJIRA01-50757;;;;;;;;;;;;;;;;;;;;SDIGBSMO02-3218;SDIGBSMO02-2920;SDIGBSMO05-1391;SDIGBSMO02-3063;SDIGBSMO05-1338;SDIGBSMO02-2919;SDIGBSMO02-3060;SDIGBSMO02-3217;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-58128;820051;OKR2.1.2.1 Oferecer a melhor experiência na contração de produtos;Em Progresso;PI#5DIG;;;0.0;5;3;O2.1.2 Oferecer a melhor experiência na contração de produtos;KR2.1.2.1 Implementar 5 melhorias na jornada da Loja BS;Ciclo 2025;3;;;;Medição ao final do 4º trim;Não;VS_Vendas_Ecommerce;;60.0;Digital;;;;;;;;;;;;;;;;;;;;;SGTIJIRA01-51239;DIGBSEC000-4046;DIGBSEC000-3654;DIGBSEC000-2256;DIGBSEC001-1698;DIGBSEC001-1729;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-58127;820049;OKR1.1.2.2 Conquistar mais usuários mar aberto para Loja BS;FINALIZADO;PI#5DIG;;;0.0;1;1;O1.1.2 Conquistar mais usuários mar aberto para Loja BS;KR1.1.2.2 Habilitar componente do produto Residencial no Whatsapp;Ciclo 2025;3;;;;Medição ao final do 4º trim;Não;VS_Vendas_Ecommerce;;100.0;Digital;SGTIJIRA01-51238;;;;;;;;;;;;;;;;;;;;DIGBSEC000-4155;DIGBSEC000-3017;;;;;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-58126;820048;OKR1.1.2.1 Conquistar mais usuários mar aberto para Loja BS;FINALIZADO;PI#5DIG;;;0.0;1;1;O1.1.2 Conquistar mais usuários mar aberto para Loja BS;KR1.1.2.1 Habilitar OPIN dentro do e-commerce;Ciclo 2025;1;Atingiu a Meta;;;;Não;VS_Vendas_Ecommerce;;100.0;Digital;SGTIJIRA01-51238;;;;;;;;;;;;;;;;;;;;DIGBSEC001-1278;;;;;;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-58125;818438;OKR1.4.2.1 Impulsionar estratégia de utilização do APP;FINALIZADO;PI#5DIG;;;0.0;1;1;O1.4.2 Impulsionar estratégia de utilização do APP;KR1.4.2.1 Habilitar melhorias de usabilidade app corretor;Ciclo 2025;2;Atingiu a Meta;;;Medição ao final do 4º trim;Não;VS_Corretor_Mobilidade;;100.0;Digital;SDIGBSMO03-3039;SGTIJIRA01-51276;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-58124;818436;OKR1.3.2.1 Ampliar catálogo de serviços disponíveis aos corretores no WPP;FINALIZADO;PI#5DIG;;;0.0;1;1;O1.3.2 Ampliar catálogo de serviços disponíveis aos corretores no WPP;KR1.3.2.1 Implementar novas jornadas de autosserviço no wpp;Ciclo 2025;1;Atingiu a Meta;;;;Não;VS_Corretor_Mobilidade;;100.0;Digital;SDIGBSBI00-5812;SGTIJIRA01-51220;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-58123;818435;OKR1.2.3.1 Identificar percepção dos corretores na utilização dos canais;Em Progresso;PI#5DIG;;;0.0;3;1;O1.2.3 Identificar percepção dos corretores na utilização dos canais;KR1.2.3.1 Criar pesquisa de NPS nos canais APP e WhatsApp;Ciclo 2025;2;;;;Medição ao final do 4º trim;Não;VS_Corretor_Mobilidade;;33.0;Digital;SDIGBSBI00-5811;SDIGBSBI00-5911;SDIGBSMO03-2830;;;;;;;;;;;;;;;;;;SGTIJIRA01-51219;;;;;;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-58122;818434;OKR1.2.2.1 Disponibilizar jornadas de autosserviço para o corretor;Em Progresso;PI#5DIG;;;0.0;3;0;O1.2.2  Disponibilizar jornadas de autosserviço para o corretor ;KR1.2.2.1 Implementar novas jornadas de pós venda de seguros no app;Ciclo 2025;2;;;;Medição ao final do 4º trim;Não;VS_Corretor_Mobilidade;;;Digital;SDIGBSMO03-3038;SDIGBSMO03-3037;SGTIJIRA01-51219;SDIGBSMO03-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-58121;818433;OKR1.1.2.1 Ampliar catálogo de serviços disponíveis aos corretores utilizando IA Generativa;Em Progresso;PI#5DIG;;;0.0;4;2;O1.1.2 Ampliar catálogo de serviços disponíveis aos corretores utilizando IA Generativa;KR1.1.2.1 Implantar novos serviços informacionais de produtos utilizando  IA Generativa nos canais BIA e WPP.;Ciclo 2025;2;;;;Medição ao final do 4º trim;Não;VS_Corretor_Mobilidade;;50.0;Digital;SGTIJIRA01-51218;SDIGBSBI00-5816;SDIGBSBI00-5925;SDIGBSBI00-5817;SDIGBSBI00-5983;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-58120;818242;OKR1.2.5.1 Melhorar a jornada de contratação para o corretor;Em Progresso;PI#8BAR;;;5.0;9;0;O1.2.5 Melhorar a jornada de contratação para o corretor;KR1.2.5.1 Implantar as 4 melhorias mais solicitadas pelos corretores Pré-Formatados;Ciclo 2025;3;;"BAR Comercialização dos Produtos
BAR Pré-Formatados";;Medição ao final do 4º trim;Não;Desenvolvimento_Comercialização_Produto_RE;;0.0;BARE;;;;;;;;;;;;;;;;;;;;;SBARREBP06-276;SGTIJIRA01-51135;SBARREBP06-277;SBARREBP06-275;SBARREBP06-279;;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-58119;817514;OKR1.3.1.2 Implantar uma nova jornada no Portal Administrativo;Em Progresso;PI#5DIG;;;0.0;1;0;O1.3.1 Permitir a personalização dos planos de acordo com a preferencia dos clientes;KR1.3.1.2 Implantar uma nova jornada no Portal Administrativo;Ciclo 2025;2;;;;Medição ao final do 4º trim;Não;VS_Corretor_Odontoprev;;0.0;Digital;SGTIJIRA01-58117;SSAUVCOR00-1237;SSAUVCOR00-1238;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-58118;817513;OKR1.3.1.1 Implantar uma nova jornada no Portal do Corretor ;Em Progresso;PI#5DIG;;;0.0;1;0;O1.3.1 Permitir a personalização dos planos de acordo com a preferencia dos clientes;KR1.3.1.1 Implantar uma nova jornada no Portal do Corretor;Ciclo 2025;2;;;;Medição ao final do 4º trim;Não;VS_Corretor_Odontoprev;;0.0;Digital;SGTIJIRA01-58117;SSAUVCOR00-1239;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-58117;817512;OKR1.3 Aumentar em 3% de entradas de vidas Bradesco PF;Em Progresso;PI#5DIG;;;0.0;3;0;"O1 Melhorar cada vez mais a jornada do corretor Bradesco Dental, contribuindo com soluções ágeis para auxiliá-lo nas vendas e no controle de sua carteira de clientes em 2025";KR1.3 Aumentar em 3% de entradas de vidas Bradesco PF;Ciclo 2025;;;;;Medição ao final do 4º trim;Não;VS_Corretor_Odontoprev;;0.0;Digital;;;;;;;;;;;;;;;;;;;;;SGTIJIRA01-58118;SGTIJIRA01-58119;;;;;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-53948;812668;OKR2.1.2.1 Impulsionar vendas digitais dentro da estratégia do Change the bank;Em Progresso;PI#5DIG;;;0.0;4;1;O2.1.2 Impulsionar vendas digitais dentro da estratégia do Change the bank;KR2.1.2.1 Disponibilizar 4 novos produtos de seguros para atender estratégia do Change the Bank;Ciclo 2025;3;;;;Medição ao final do 4º trim;Não;VS_Vendas_Bancassurance;;25.0;Digital;SGTIJIRA01-51307;;;;;;;;;;;;;;;;;;;;SDIGVPLI00-12112;SDIGVPLI00-12065;SDIGVPLI00-11367;SDIGVPLI00-12066;;;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-53947;812666;OKR1.3.5.1 Melhorar a experiência do cliente nas jornadas de venda e pós venda previdência no app;Em Progresso;PI#5DIG;;;0.0;5;0;O1.3.5 Melhorar a experiência do cliente nas jornadas de venda e pós venda previdência no app;KR1.3.5.1 Disponibilizar 5  funcionalidades de gestão de carteira de previdência;Ciclo 2025;3;;;;Medição ao final do 4º trim;Não;VS_Vendas_Bancassurance;;0.0;Digital;;;;;;;;;;;;;;;;;;;;;SDIGVSBV02-77;SDIGVSBV02-663;SDIGVSBV02-1464;SGTIJIRA01-50960;SDIGVSBV02-1465;SDIGVSBV02-1463;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-53815;812626;OKR1.1.3.2 Ampliar oferta de produtos de seguros para correntistas Bradesco;Em Progresso;PI#5DIG;;;0.0;6;3;O1.1.3 Ampliar oferta de produtos de seguros para correntistas Bradesco;KR1.1.3.2 Habilitar 6 comunicações para os clientes para estimular contratação de produtos.;Ciclo 2025;3;;;;Medição ao final do 4º trim;Não;VS_Vendas_Bancassurance;;50.0;Digital;;;;;;;;;;;;;;;;;;;;;SDIGVSBV02-1462;SGTIJIRA01-50958;SDIGCCOR00-2339;SDIGCCOR00-2525;SDIGCCOR00-2516;SDIGCIBC00-2076;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-53814;812623;OKR1.1.3.1 Ampliar oferta de produtos de seguros para correntistas Bradesco;Em Progresso;PI#5DIG;;;0.0;4;1;O1.1.3 Ampliar oferta de produtos de seguros para correntistas Bradesco;KR1.1.3.1 Disponibilizar 4 novos produtos de seguros para contratação por autosserviço;Ciclo 2025;3;;;;Medição ao final do 4º trim;Não;VS_Vendas_Bancassurance;;25.0;Digital;;;;;;;;;;;;;;;;;;;;;SDIGCCOR00-2344;SGTIJIRA01-50958;SDIGVSBV02-1462;SDIGCIBC00-2273;SDIGCIBC00-807;;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-51650;808678;"OKR1.1.5.1 Garantir a rastreabilidade das ações relacionadas ao Sinistro RE pelo corretor, vinculadas ao nível de CPF";Em Progresso;PI#8BAR;;;0.0;1;0;"O1.1.5 Garantir a rastreabilidade das ações relacionadas ao Sinistro RE pelo corretor, vinculadas ao nível de CPF";"KR1.1.5.1 Identificar as ações do corretor por CPF, relacionadas ao Sinistro RE para ramos diferentes de residenciais";Ciclo 2025;3;;BAR Modernização de Aviso Sinistro;;Medição ao final do 4º trim;Não;Sinistro_RE;;0.0;BARE;;;;;;;;;;;;;;;;;;;;;SGTIJIRA01-51165;SBARSREF00-2;;;;;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-51635;807007;OKR1.3.1.2 Habilitar pesquisa de satisfação para monitoramento;Cancelado;PI#4DIG;;;0.0;1;0;"O1.3.1 Melhorar a qualidade do atendimento digital com foco em UX, segurança e estabilidade";KR1.3.1.2 Habilitar pesquisa de satisfação para monitoramento;Ciclo 2025;4;Não Atingiu a Meta;;KR cancelada a pedido da PM Cintia.;;Não;VS_Clientes;;0.0;Digital;SGTIJIRA01-51267;SDIGBSMO01-8913;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-51634;807006;OKR1.3.1.1 Reduzir em 50% o volume de reclamações por dificuldade de acesso;FINALIZADO;PI#4DIG;;;0.0;50;47;"O1.3.1 Melhorar a qualidade do atendimento digital com foco em UX, segurança e estabilidade";KR1.3.1.1 Reduzir em 50% o volume de reclamações por dificuldade de acesso;Ciclo 2025;5;Atingiu Parcialmente a Meta;;;;Não;VS_Clientes;;94.0;Digital;SGTIJIRA01-51267;SDIGBSMO01-8340;SDIGBSMO01-8067;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-51633;807005;OKR1.2.2.2 Habilitar 10 novas jornadas no WPP;FINALIZADO;PI#4DIG;;;0.0;10;10;O1.2.2 Expandir a cobertura de serviços digitais com novas jornadas de autoatendimento;KR1.2.2.2 Habilitar 10 novas jornadas no WPP;Ciclo 2025;5;Atingiu a Meta;;;;;VS_Clientes;;100.0;Digital;;;;;;;;;;;;;;;;;;;;;SGTIJIRA01-51627;SDIGEWHA00-3915;SDIGEWHA00-3089;SDIGEWHA00-4942;SDIGEWHA00-4026;SDIGEWHA00-4991;SDIGEWHA00-4039;SDIGEWHA00-4023;SDIGEWHA00-4938;SDIGEWHA00-4943;SDIGEWHA00-4024;;;;;;;;;;;;;;;;
SGTIJIRA01-51632;807004;OKR1.2.2.1 Habilitar 9 novas jornadas ao APP;FINALIZADO;PI#4DIG;;;0.0;9;9;O1.2.2 Expandir a cobertura de serviços digitais com novas jornadas de autoatendimento.;KR1.2.2.1 Habilitar 9 novas jornadas ao APP;Ciclo 2025;4;Atingiu a Meta;;;;;VS_Clientes;;100.0;Digital;SDIGBSMO01-7381;SDIGBSMO01-8834;SDIGBSMO01-7567;SDIGBSMO01-7639;SDIGBSMO01-7719;SDIGBSMO01-8364;SDIGBSMO01-8365;SDIGBSMO01-8838;SDIGBSMO01-8898;;;;;;;;;;;;SGTIJIRA01-51627;;;;;;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-51631;807001;OKR1.2.2.3 Habilitar 6 novas páginas no Portal;FINALIZADO;PI#4DIG;;;0.0;6;6;O1.2.2 Expandir a cobertura de serviços digitais com novas jornadas de autoatendimento.;KR1.2.2.3 Habilitar 6 novas páginas no Portal;Ciclo 2025;4;Atingiu a Meta;;;;;VS_Clientes;;100.0;Digital;;;;;;;;;;;;;;;;;;;;;SGTIJIRA01-51627;SDIGPCWB01-6498;SDIGPCWB01-6616;SDIGPCWB01-6236;SDIGPCWB01-6613;SDIGPCWB01-6127;SDIGPCWB01-6608;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-51630;806699;OKR1.2.1.2 Habilitar a divulgação do Whatsapp na pagina de Automóvel;FINALIZADO;PI#4DIG;;;0.0;1;1;O1.2.1 Impulsionar o uso dos canais digitais com ações de engajamento e integração entre canais;KR1.2.1.2 Habilitar a divulgação do Whatsapp na pagina de Automóvel;Ciclo 2025;4;Atingiu a Meta;;;;;VS_Clientes;;100.0;Digital;SDIGPCWB01-6943;SGTIJIRA01-51627;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-51629;806692;"OKR1.2.1.1 Habilitar 4 jornadas para envio de mensegem ativa (Auto, Novamed, Dental e Vida)";FINALIZADO;PI#4DIG;;;0.0;4;4;O1.2.1 Impulsionar o uso dos canais digitais com ações de engajamento e integração entre canais;"KR1.2.1.1 Habilitar 4 jornadas para envio de mensegem ativa (Auto, Novamed, Dental e Vida)";Ciclo 2025;5;Atingiu a Meta;;;;;VS_Clientes;;100.0;Digital;SDIGEWHA00-4936;SDIGEWHA00-3912;SDIGEWHA00-3958;SDIGEWHA00-3626;;;;;;;;;;;;;;;;;SGTIJIRA01-51627;;;;;;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-51628;806689;OKR1.1.2.1 Habilitar o produto Residencial (APP);FINALIZADO;PI#4DIG;;;0.0;1;1;O1.1.2 Potencializar oportunidades de vendas;KR1.1.2.1 Habilitar o produto Residencial (APP);Ciclo 2025;4;Atingiu a Meta;;;;;VS_Clientes;;100.0;Digital;SDIGBSMO01-7566;;;;;;;;;;;;;;;;;;;;SGTIJIRA01-51269;;;;;;;;;;;;;;;;;;;;;;;;;;
